Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045
Marshall Islands,7.0,9.1,10.7,13.1,21.8,23.0,24.8,26.0,3.0,2.7,3.2,3.8,9.2,7.4,7.9,8.2,0,5.5,6.3,7.4,0,13.5,13.2,13.0,13.6,15.5,18.1,1493.9,1699.5,1979.2
Martinique,43.0,0.0,0.0,0.0,12.1,0.0,0.0,0.0,34.9,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauritania,60.6,45.0,62.0,96.5,4.3,2.1,2.2,2.3,184.8,233.3,304.4,473.7,11.6,12.4,11.5,11.9,0,124.6,169.8,264.7,0,4.9,4.9,4.8,12.8,17.4,25.7,284.5,386.4,571.8
Mauritius,138.2,250.4,275.3,278.2,14.8,22.6,25.2,26.6,95.3,116.4,119.6,115.5,10.3,12.4,12.4,12.4,0,83.1,86.5,81.6,0,7.8,8.2,8.3,147.3,148.7,140.8,588.4,593.9,562.4
Mayotte,0.0,5.7,7.8,12.4,0.0,4.6,4.9,5.0,0.0,16.5,22.0,36.1,0.0,13.9,14.4,14.5,0,8.9,13.7,20.6,0,6.7,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0
Mexico,10293.7,14123.2,17062.7,21181.9,15.6,16.9,18.3,18.9,7071.9,10655.2,12763.5,15770.2,10.6,12.4,13.3,13.9,0,7536.3,8832.3,10476.9,0,8.7,9.0,9.1,19946.8,22549.9,25490.3,1412.3,1596.7,1804.9
Micronesia (Federated States of),7.7,8.7,10.3,13.2,15.7,15.6,16.9,17.4,4.4,4.6,5.4,6.7,8.5,7.4,7.9,8.2,0,8.2,9.3,11.0,0,13.5,13.2,13.0,8.7,10.3,12.1,1000.7,1180.5,1397.9
Monaco,2.1,2.7,3.0,3.1,5.6,6.2,7.3,7.9,2.6,3.0,3.2,3.4,7.6,8.3,8.9,9.3,0,1.0,1.1,1.1,0,2.8,3.0,3.1,9.1,9.7,9.7,3416.9,3634.8,3622.9
Mongolia,117.5,150.8,174.8,210.6,7.1,6.9,7.0,7.0,137.0,193.5,225.1,305.0,8.5,9.5,9.7,10.0,0,44.7,53.9,68.3,0,2.2,2.3,2.4,88.1,96.4,106.2,584.0,639.0,704.0
Montenegro,41.9,54.7,58.5,58.5,7.7,9.1,10.2,10.9,48.9,35.0,35.7,33.9,9.7,7.3,7.5,7.7,0,10.0,10.8,10.6,0,1.7,2.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0
Morocco,1267.9,2327.7,2875.5,3574.7,6.8,9.1,9.8,10.2,1408.3,2190.5,2465.8,2773.1,7.4,10.0,10.3,10.4,0,2540.1,3048.5,3724.3,0,9.8,10.1,10.4,1102.7,1327.4,1513.6,473.7,570.3,650.2
Mozambique,294.7,349.3,512.4,956.7,3.1,3.3,3.4,3.4,1125.8,943.9,1357.3,2384.0,11.4,7.9,8.3,8.5,0,1110.1,1573.7,2744.7,0,9.4,9.7,9.9,79.2,114.4,201.0,226.7,327.4,575.3
Myanmar,2103.7,2346.6,2791.4,3437.9,7.1,7.1,7.7,8.0,2635.7,3003.5,3503.2,4082.2,8.7,8.9,9.3,9.5,0,755.2,888.0,1043.6,0,2.2,2.3,2.4,394.5,457.3,554.3,168.1,194.9,236.2
Namibia,74.1,75.0,102.5,166.4,7.8,6.7,7.3,7.9,78.4,90.7,118.7,177.4,7.6,6.9,7.2,7.4,0,72.5,97.5,148.0,0,5.8,6.1,6.2,159.1,211.2,299.5,2120.9,2815.9,3991.9
Nauru,1.2,1.5,1.7,1.8,20.4,23.4,25.0,26.2,0.6,0.5,0.5,0.6,9.6,7.6,8.3,8.6,0,0.4,0.4,0.5,0,6.5,6.4,6.4,1.6,1.7,1.6,1051.5,1066.5,1046.8
Nepal,488.2,1133.5,1553.4,2180.1,3.6,8.7,9.2,9.4,316.0,709.5,963.6,1404.7,2.2,5.4,5.8,6.0,0,1656.7,2031.4,2367.8,0,7.8,8.2,8.3,115.8,150.6,190.5,102.2,132.9,168.1
Netherlands,881.6,857.0,910.4,894.7,5.3,4.5,5.3,5.8,1143.3,2478.6,2515.9,2442.5,7.5,15.8,16.9,17.7,0,749.8,769.4,743.2,0,4.9,5.3,5.5,5523.1,5481.1,5129.2,6444.9,6395.9,5985.3
Netherlands Antilles,20.6,0.0,0.0,0.0,12.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Caledonia,14.6,49.8,57.2,67.7,8.6,23.4,25.0,26.2,18.7,16.0,18.5,21.5,11.1,7.4,7.9,8.2,0,10.7,12.2,13.8,0,4.5,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,312.1,268.7,296.8,319.6,8.6,6.2,7.0,7.5,419.1,366.2,401.2,429.6,12.3,8.8,9.7,10.2,0,201.5,213.9,228.0,0,4.5,4.6,4.6,1066.2,1101.2,1116.7,3967.5,4098.1,4155.6
Nicaragua,282.8,365.8,485.0,690.6,11.0,9.3,10.2,10.6,324.7,470.4,587.1,763.8,11.3,12.1,12.6,12.9,0,486.7,603.1,783.4,0,12.5,13.1,13.3,210.9,259.1,315.7,576.5,708.5,863.2
Niger,283.9,423.1,635.4,1232.2,4.2,5.2,5.1,5.0,533.5,897.9,1213.5,2228.3,8.9,11.3,11.5,11.9,0,603.2,892.5,1725.0,0,7.5,7.3,7.1,60.1,89.9,174.5,142.0,212.6,412.4
Nigeria,3054.5,3623.5,4941.6,7988.3,4.8,3.6,3.7,3.7,5175.1,9418.3,11982.9,18795.9,8.2,11.3,11.5,11.9,0,4929.0,6724.3,10803.0,0,4.9,4.9,4.8,1810.6,2472.3,3869.1,499.7,682.3,1067.8
Niue,0.1,0.0,0.0,0.0,9.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,134.9,116.1,124.5,122.3,7.7,6.1,7.0,7.6,158.3,120.9,122.7,116.2,9.6,7.3,7.5,7.7,0,33.7,36.8,37.6,0,1.7,2.0,2.1,113.9,125.0,118.8,980.5,1076.6,1022.7
Northern Mariana Islands,0.0,8.3,9.2,10.1,0.0,23.4,25.0,26.2,0.0,2.7,3.0,3.3,0.0,7.4,7.9,8.2,0,2.2,2.4,2.5,0,4.5,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0
