Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045
Afghanistan,818.3,1606.7,2172.8,3530.7,7.6,10.9,11.0,11.3,819.8,1293.7,1792.2,2886.8,7.2,8.3,8.7,9.0,0,756.1,1048.3,1617.2,0,4.6,4.7,4.7,229.9,306.0,452.8,143.1,190.4,281.8
Albania,64.1,241.1,261.4,258.2,2.8,10.2,10.2,10.9,212.5,160.5,160.3,146.8,9.5,7.3,7.5,7.7,0,45.0,48.5,47.0,0,1.7,2.0,2.1,163.0,179.2,166.1,676.1,743.3,689.1
Algeria,1435.1,2013.0,2527.5,3497.9,7.0,7.1,7.6,8.1,1186.8,1590.6,1964.9,2558.0,5.7,5.2,5.5,5.6,0,2966.9,3610.5,4775.0,0,9.8,10.1,10.4,1736.8,2092.9,2533.0,862.8,1039.7,1258.3
American Samoa,0.0,7.8,8.4,8.9,0.0,20.3,21.7,23.1,0.0,2.6,2.8,2.9,0.0,8.2,7.9,8.2,0,5.3,5.4,5.5,0,13.5,13.2,13.0,0.0,0.0,0.0,0.0,0.0,0.0
Andorra,4.8,8.0,8.7,8.9,5.4,9.7,11.0,11.9,6.0,6.1,6.4,6.5,7.5,8.4,8.4,9.4,0,2.0,2.1,2.0,0,2.8,3.1,3.2,24.6,25.1,23.5,3063.9,3121.4,2927.2
Angola,185.3,584.5,830.4,1453.6,2.9,4.6,4.9,5.0,628.9,1031.7,1498.8,2619.7,9.1,6.9,7.2,7.4,0,1419.6,2039.1,3587.8,0,9.6,10.0,10.1,303.8,427.4,718.1,519.8,731.4,1228.6
Anguilla,185.3,0.0,0.0,0.0,2.9,0.0,0.0,0.0,628.9,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Antigua and Barbuda,7.3,8.5,10.2,11.7,12.5,11.7,13.2,14.1,6.3,3.9,4.6,5.2,11.0,5.3,5.8,6.2,0,5.0,5.7,6.6,0,9.9,10.5,10.5,8.7,9.7,9.9,1015.8,1129.7,1161.9
Argentina,1531.8,1806.8,2086.0,2552.0,5.5,5.4,6.1,6.4,1699.1,3611.6,4058.9,4751.8,6.2,11.8,12.4,12.7,0,4400.1,4963.9,5826.8,0,9.9,10.3,10.5,2566.4,2860.0,3258.1,1420.4,1582.9,1803.2
Armenia,191.7,133.6,153.6,155.4,8.5,5.6,6.4,6.8,169.4,71.2,75.1,69.4,7.6,3.5,3.9,3.9,0,51.5,56.1,56.9,0,2.3,2.4,2.5,156.8,195.2,174.3,1174.3,1462.5,1305.3
Aruba,11.7,4.1,3.9,3.7,12.4,4.3,4.6,4.6,9.6,5.2,5.6,5.2,10.9,5.3,5.8,6.2,0,8.0,8.6,8.6,0,9.9,10.3,10.5,0.0,0.0,0.0,0.0,0.0,0.0
Australia,1292.1,1491.8,1693.0,1935.2,6.6,6.4,7.4,8.0,1585.8,1904.0,2129.1,2413.8,8.6,8.8,9.7,10.2,0,1071.2,1161.9,1312.8,0,4.5,4.6,4.6,8867.1,9588.0,10405.7,5944.0,6427.3,6975.4
Austria,571.0,447.1,477.6,497.3,6.6,4.6,5.3,5.8,573.9,1387.0,1436.2,1443.8,7.3,16.7,17.9,18.7,0,179.0,184.7,179.5,0,2.2,2.4,2.5,2939.3,3031.0,2894.2,6574.7,6779.7,6473.8
Azerbaijan,167.1,397.1,499.3,573.6,2.8,5.6,6.4,6.8,591.5,236.5,268.9,272.5,9.5,3.5,3.9,4.2,0,166.6,195.2,217.4,0,2.3,2.4,2.5,191.6,247.7,265.8,482.4,623.9,669.3
Bahamas,28.8,25.6,31.2,36.9,12.1,8.8,10.0,10.6,25.2,14.8,18.0,21.2,10.6,5.3,5.8,6.2,0,38.0,44.2,50.4,0,9.9,10.5,10.5,63.8,71.8,77.6,2496.6,2808.8,3037.8
Bahrain,150.8,119.8,156.8,210.2,19.5,11.3,11.9,12.6,140.6,201.9,255.0,321.2,16.3,12.9,13.5,13.7,0,166.4,198.4,230.1,0,8.8,8.9,8.9,158.7,201.7,237.2,1324.9,1683.3,1980.0
Bangladesh,8405.6,13136.3,16822.0,22294.1,10.5,14.2,15.0,15.3,2141.1,5011.4,6395.6,8500.5,2.8,5.5,5.7,5.9,0,17550.3,21403.2,26456.4,0,18.1,18.2,18.3,1005.4,1174.7,1390.0,76.5,89.4,105.8
Barbados,29.1,38.8,42.6,41.6,12.4,14.0,16.1,17.3,24.0,13.5,14.6,14.2,10.9,5.3,5.8,6.2,0,9.4,9.9,9.5,0,4.0,4.3,4.4,43.0,43.6,39.9,1106.4,1122.8,1028.1
Belarus,676.6,483.0,526.6,481.9,8.0,5.6,6.4,6.8,802.0,184.6,179.0,150.0,10.1,3.5,3.9,4.2,0,187.5,192.4,176.3,0,2.3,2.4,2.5,494.3,583.0,498.0,1023.5,1207.3,1031.1
Belgium,514.9,404.9,437.9,442.6,4.8,3.6,4.1,4.4,753.0,1599.3,1667.7,1676.1,7.6,15.8,16.9,17.6,0,484.6,510.8,511.8,0,4.9,5.3,5.5,2604.6,2666.5,2552.6,6433.2,6568.2,6304.9
Belize,24.5,32.2,42.5,58.8,17.0,14.5,15.7,16.4,15.8,10.5,14.1,20.4,10.8,5.0,5.5,5.8,0,19.6,25.5,34.8,0,8.7,9.0,9.1,26.7,32.6,40.5,830.5,1013.2,1259.6
Benin,70.6,50.4,71.5,123.7,2.0,1.1,1.2,1.2,440.1,569.0,741.0,1178.4,11.7,11.3,11.5,11.9,0,291.4,401.5,647.1,0,4.9,4.9,4.8,9.2,12.8,21.4,181.6,253.8,424.5
Bermuda,6.5,6.9,6.8,6.1,12.0,13.0,14.1,14.8,5.3,5.9,5.9,5.3,10.5,11.6,12.5,13.0,0,3.8,3.7,3.4,0,8.1,8.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,21.5,44.8,59.5,84.2,5.7,10.4,11.2,11.6,11.8,24.9,31.6,41.6,3.0,5.5,5.7,5.9,0,38.8,45.1,54.6,0,7.8,8.2,8.3,8.7,10.7,12.3,194.7,239.4,274.4
Bolivia (Plurinational State of),303.3,395.9,502.4,722.8,6.6,5.5,6.1,6.4,347.2,503.1,615.1,826.2,7.1,7.3,8.0,8.4,0,809.0,1006.3,1358.9,0,9.9,10.3,10.5,355.9,427.3,558.3,898.8,1079.3,1410.2
Bosnia and Herzegovina,264.9,305.9,322.3,295.8,7.5,9.1,10.2,10.9,306.5,200.2,199.5,171.7,9.5,7.3,7.5,7.7,0,58.8,62.2,56.0,0,1.7,2.0,2.1,344.2,370.0,329.4,1125.2,1209.7,1076.7
Botswana,93.9,69.1,95.6,148.5,10.8,5.2,5.9,6.3,84.0,102.8,135.2,190.6,8.8,6.9,7.2,7.4,0,60.9,80.1,114.6,0,4.2,4.4,4.5,149.0,193.0,259.9,2155.3,2792.3,3759.4
Brazil,12440.0,15733.6,19224.1,23223.6,10.1,8.8,10.2,10.9,5354.5,17774.9,20249.9,22468.8,4.3,10.8,11.4,11.7,0,21425.6,24361.5,26930.1,0,9.9,10.3,10.5,42928.5,48308.7,51441.2,2728.5,3070.4,3269.5
British Virgin Islands,1.3,1.9,3.1,3.4,8.6,8.7,14.1,14.8,1.6,2.4,2.7,3.0,10.9,11.6,12.5,13.0,0,1.7,1.8,1.9,0,8.1,8.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,19.3,35.0,42.0,47.3,9.4,11.1,11.8,12.0,28.8,49.2,56.9,63.7,11.9,15.5,15.9,16.0,0,7.3,9.3,11.5,0,2.5,2.9,2.9,31.5,34.1,32.8,901.3,975.2,938.7
Bulgaria,531.6,519.3,492.1,436.6,6.7,7.4,8.3,8.7,126.2,88.3,83.3,73.9,1.7,1.4,1.6,1.7,0,147.1,138.3,119.6,0,2.3,2.4,2.5,982.7,915.6,796.3,1892.4,1763.3,1533.5
Burkina Faso,175.1,164.4,230.7,389.5,3.0,2.1,2.2,2.3,662.4,866.9,1165.7,1958.2,10.1,11.3,11.5,11.9,0,410.6,585.6,992.8,0,4.8,4.7,4.7,31.6,43.9,72.7,192.3,267.2,442.2
Burundi,94.2,223.1,355.5,637.8,2.7,6.5,7.3,7.4,326.2,581.7,844.5,1535.4,8.4,19.2,21.2,22.5,0,269.6,431.6,743.8,0,6.7,7.4,7.4,22.9,33.4,55.0,102.5,149.6,246.7
Cabo Verde,13.1,7.3,9.6,12.1,5.4,2.1,2.2,2.3,21.1,35.4,43.4,56.4,8.8,11.3,11.5,11.9,0,19.7,23.2,27.5,0,4.9,4.8,4.8,6.7,8.1,8.4,912.1,1108.9,1143.1
Cambodia,199.4,596.0,776.2,1094.6,2.9,7.3,8.2,8.6,720.2,633.2,774.9,1023.6,9.7,7.3,7.6,7.8,0,200.0,247.0,326.0,0,2.2,2.3,2.4,155.8,200.7,253.9,261.5,336.8,426.0
Cameroon,501.4,620.8,877.2,1484.5,6.1,5.5,5.9,6.0,693.2,1229.0,1609.3,2548.1,8.7,11.3,11.5,11.9,0,680.2,931.7,1469.1,0,4.9,4.8,4.8,177.7,242.2,376.6,286.2,390.1,606.7
Canada,2716.1,2974.0,3288.2,3468.5,8.4,7.7,8.9,9.6,3066.4,3710.1,4040.4,4273.8,10.6,10.9,11.9,12.4,0,2484.0,2625.4,2807.5,0,8.1,8.4,8.5,14284.1,14905.9,15259.4,4802.9,5012.0,5130.8
Cayman Islands,4.4,6.1,7.2,8.8,12.0,13.0,14.1,14.8,3.8,5.3,6.3,7.6,10.5,11.6,12.5,13.0,0,3.7,4.2,4.9,0,8.1,8.4,8.5,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,58.2,96.9,130.3,223.9,3.2,5.8,6.2,6.4,226.8,202.5,257.8,403.2,11.3,11.3,11.5,11.9,0,100.8,140.5,221.7,0,4.8,4.7,4.7,25.9,34.8,57.4,267.7,358.7,592.2
Chad,197.1,268.3,382.6,700.1,3.9,5.8,6.2,6.4,464.1,630.9,840.7,1425.6,10.1,11.3,11.5,11.9,0,287.3,409.2,704.8,0,4.8,4.7,4.7,35.9,50.9,89.2,133.6,189.8,332.4
Channel Islands,7.9,10.8,12.0,12.9,4.9,6.3,7.0,7.5,10.3,5.5,5.8,6.2,6.9,3.8,3.8,4.0,0,7.6,8.4,8.8,0,4.9,5.3,5.5,0.0,0.0,0.0,0.0,0.0,0.0
Chile,1190.1,1747.1,1965.2,2215.7,9.5,10.8,11.9,12.6,761.5,1713.6,1850.0,1998.0,6.2,11.8,12.4,12.7,0,2015.8,2160.6,2344.5,0,9.9,10.3,10.5,2767.3,2892.9,2942.9,1583.9,1655.8,1684.5
China,90045.1,140869.6,164069.5,174433.5,8.8,10.6,11.8,12.5,23373.0,169869.6,190686.1,196056.9,2.3,13.4,14.2,14.7,0,26935.0,29517.7,29639.8,0,2.2,2.3,2.4,165304.0,185008.2,193142.7,1173.5,1313.3,1371.1
"China, Hong Kong SAR",525.4,686.0,837.0,831.1,7.6,7.8,9.4,10.4,833.3,945.4,1020.9,963.1,13.3,13.5,14.4,14.7,0,382.0,378.1,338.5,0,6.5,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0
"China, Macao SAR",32.7,50.9,69.5,81.3,7.2,7.8,9.4,10.4,58.6,78.8,92.1,99.2,13.0,13.5,14.4,14.7,0,34.3,36.0,37.0,0,6.5,6.4,6.4,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,2609.3,3443.6,4060.3,5014.2,9.8,8.3,8.9,9.9,1633.8,4019.7,4611.5,5295.9,5.9,10.8,11.4,11.7,0,4678.3,5391.2,6235.0,0,9.9,10.3,10.5,6104.8,6795.4,7374.3,1772.8,1973.3,2141.4
Comoros,23.5,34.6,47.8,77.6,8.4,11.7,12.7,13.1,32.9,39.7,52.8,82.6,10.1,12.1,12.5,12.6,0,25.9,38.1,56.1,0,6.9,7.6,7.6,7.1,9.4,14.0,205.6,272.1,403.7
Congo,94.6,151.6,206.4,327.8,5.5,5.5,5.9,6.0,150.6,272.4,353.6,545.2,8.9,11.3,11.5,11.9,0,153.9,206.8,319.0,0,4.9,4.9,4.9,38.1,49.1,75.5,251.4,323.8,498.1
Cook Islands,1.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,1.4,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,271.2,361.5,443.1,531.1,9.6,8.8,10.1,10.8,172.8,424.1,491.3,554.2,5.8,10.8,11.4,11.7,0,492.7,578.9,656.1,0,9.9,10.3,10.5,1044.8,1206.5,1276.0,2890.0,3337.1,3529.5
Croatia,218.8,212.7,213.2,193.9,5.2,4.8,5.4,5.9,304.6,244.9,237.6,207.4,7.2,7.3,7.5,7.7,0,72.3,73.7,66.7,0,1.7,1.9,2.1,254.7,246.6,209.4,1197.5,1159.1,984.4
Cuba,939.0,761.3,782.3,750.9,9.4,7.6,7.8,8.0,557.0,1086.3,1111.1,1037.9,6.0,10.8,11.4,11.7,0,1199.1,1225.6,1157.9,0,9.9,10.3,10.5,2373.3,2268.1,2226.6,3117.4,2979.3,2924.7
Curaçao,0.0,20.3,21.6,21.2,0.0,11.7,13.2,14.1,0.0,8.0,8.5,8.3,0.0,5.3,5.8,6.2,0,18.3,19.0,19.3,0,9.9,10.3,10.5,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,81.8,87.5,99.6,115.8,9.3,8.6,9.4,9.9,53.0,57.4,64.6,73.7,6.1,5.7,6.1,6.4,0,17.8,20.8,24.4,0,1.7,1.9,2.1,224.9,240.1,249.0,2570.8,2745.4,2846.7
Czechia,557.4,791.4,799.2,827.9,5.3,7.1,8.0,8.6,718.5,251.6,249.0,228.1,7.3,3.5,3.9,4.2,0,216.5,217.6,210.1,0,2.2,2.4,2.5,1723.2,1677.1,1622.6,2177.5,2119.2,2050.3
Côte d'Ivoire,406.5,231.2,309.1,497.0,4.9,2.1,2.2,2.3,677.5,1241.8,1582.6,2460.9,8.2,11.3,11.5,11.9,0,649.1,878.8,1391.3,0,4.9,4.9,4.8,89.4,119.9,187.3,386.6,518.7,810.4
Democratic People's Republic of Korea,1507.5,1847.1,2070.6,2295.9,8.4,8.6,9.4,9.9,1798.4,1736.1,1869.5,1991.7,10.4,8.9,9.3,9.5,0,770.6,853.2,941.7,0,3.5,3.7,3.8,0.0,0.0,0.0,0.0,0.0,0.0
Democratic Republic of the Congo,730.7,1908.9,2703.9,4823.0,3.1,5.8,6.2,6.4,2850.7,3864.3,5125.4,8649.7,10.9,11.3,11.5,11.9,0,1897.7,2710.2,4722.1,0,4.8,4.7,4.7,179.2,253.1,434.5,93.9,132.6,227.6
Denmark,299.5,309.4,304.1,313.5,5.6,5.3,5.9,6.3,460.6,617.1,614.7,631.2,9.9,11.9,12.7,13.3,0,259.0,257.0,262.6,0,5.4,5.7,5.9,2426.9,2362.6,2381.7,7844.4,7636.7,7698.3
Djibouti,26.1,53.7,73.4,96.7,6.3,7.4,8.4,8.5,39.3,108.9,136.7,193.3,9.6,16.7,18.4,19.6,0,50.3,66.4,82.5,0,6.9,7.6,7.6,15.5,17.8,20.5,288.2,330.4,382.0
Dominica,3.9,6.3,7.1,7.7,8.9,11.7,13.2,14.1,4.6,2.6,2.9,3.1,10.7,5.0,5.4,5.8,0,6.0,6.5,7.0,0,9.9,10.3,10.5,8.5,9.0,9.3,1334.3,1420.0,1475.4
Dominican Republic,431.6,865.3,1152.9,1466.6,8.1,10.5,12.5,13.2,326.0,767.8,903.9,1082.6,5.9,10.8,11.4,11.7,0,912.8,1092.9,1319.1,0,9.9,10.3,10.5,1289.4,1514.1,1724.9,1490.1,1749.8,1993.5
Ecuador,524.2,526.7,642.1,838.0,6.6,4.4,4.6,4.7,477.1,1208.8,1457.6,1851.5,5.8,10.8,11.4,11.7,0,1255.6,1527.0,2001.4,0,9.9,10.3,10.5,1201.2,1388.5,1657.6,2280.5,2636.0,3146.9
Egypt,7323.4,10930.7,13744.8,19975.3,16.6,20.9,22.6,23.5,3304.7,13023.3,15358.6,21453.2,7.4,22.5,22.1,21.9,0,5365.3,6532.9,9281.1,0,9.8,10.1,10.4,0.0,3317.1,4481.8,0.0,303.5,410.0
El Salvador,293.1,291.5,350.9,449.4,9.4,6.3,6.9,7.2,177.2,453.0,518.6,610.5,5.6,10.8,11.4,11.7,0,495.4,582.9,701.9,0,9.9,10.3,10.5,309.5,356.5,404.9,1061.8,1222.9,1388.9
Equatorial Guinea,14.0,39.4,54.0,94.4,4.2,5.5,5.9,6.0,25.8,74.0,95.0,149.7,7.6,11.3,11.5,11.9,0,46.4,62.8,94.2,0,4.9,4.8,4.8,67.4,93.1,141.1,0.0,0.0,0.0
Eritrea,95.5,94.2,139.0,224.7,3.6,6.5,7.3,7.4,217.7,276.2,364.1,587.2,9.6,19.2,21.2,22.5,0,107.3,163.5,249.6,0,6.7,7.4,7.4,10.4,13.8,20.8,110.6,146.8,221.1
Estonia,90.7,83.9,87.5,83.1,7.0,6.5,7.4,8.0,93.0,87.8,91.0,88.8,7.1,6.8,7.8,8.4,0,25.5,25.5,23.3,0,2.2,2.4,2.5,153.2,151.3,133.9,1826.6,1803.5,1596.6
Eswatini,13.9,21.8,27.8,42.2,3.1,4.6,4.9,5.0,30.4,31.7,39.7,59.2,6.6,6.9,7.2,7.4,0,66.0,82.6,123.5,0,14.4,15.0,15.3,24.8,29.6,39.8,1136.2,1356.9,1826.7
Ethiopia,1377.3,1920.0,2740.8,4755.5,3.4,5.0,5.3,5.4,3266.5,7140.7,10018.1,17391.5,8.9,19.2,21.2,22.5,0,3077.5,4805.4,7625.5,0,6.7,7.4,7.4,200.2,281.2,452.4,104.3,146.4,235.6
Faroe Islands,0.0,1.8,1.9,2.1,0.0,3.8,4.3,4.7,0.0,0.6,0.6,0.6,0.0,1.2,1.3,1.4,0,1.9,2.0,2.0,0,4.8,5.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Fiji,55.4,99.2,116.0,139.7,10.9,17.7,19.6,20.7,56.4,41.3,47.0,54.9,11.0,7.4,7.9,8.2,0,79.4,87.1,101.1,0,13.5,13.2,13.0,52.0,59.5,68.3,524.6,600.1,689.0
Finland,340.3,392.9,388.9,379.2,5.8,6.1,7.1,7.7,381.7,474.5,463.6,449.1,6.7,8.1,9.1,9.8,0,198.0,194.1,194.2,0,4.5,4.7,4.7,2166.9,2055.4,1960.8,5514.6,5230.8,4990.0
France,3237.6,3942.9,4184.9,4225.7,5.4,5.3,6.0,6.5,4167.4,4828.6,4949.7,4925.9,7.5,8.4,9.0,9.4,0,2728.6,2825.6,2803.7,0,4.9,5.3,5.5,22711.6,22882.6,22127.0,5760.1,5803.5,5611.9
French Guiana,12.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,7.8,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
French Polynesia,14.9,52.1,60.0,68.1,8.6,25.2,26.9,28.2,19.0,15.5,17.9,19.7,10.8,7.4,7.9,8.2,0,9.8,10.9,11.8,0,4.5,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0
Gabon,68.6,79.0,106.1,157.6,10.3,5.5,5.9,6.0,72.0,125.1,156.1,233.9,10.2,11.3,11.5,11.9,0,78.3,96.9,139.1,0,4.9,4.9,4.8,89.9,112.7,148.1,1137.8,1427.3,1874.5
Gambia,12.3,18.1,25.7,44.8,2.0,1.9,2.0,2.1,95.1,108.5,142.9,235.5,13.3,11.3,11.5,11.9,0,59.8,83.2,137.7,0,4.8,4.7,4.7,2.4,3.4,5.5,132.7,187.2,302.3
Georgia,104.6,190.6,192.1,179.1,2.8,5.7,6.3,6.6,337.1,109.7,103.7,85.0,9.6,3.5,3.9,4.2,0,60.6,61.0,56.3,0,1.8,2.0,2.0,167.2,179.7,163.7,877.1,942.8,858.7
Germany,5022.2,6199.9,6519.7,6094.4,5.3,6.9,7.9,8.4,5527.5,12197.5,12134.5,11255.6,6.1,16.8,17.5,17.9,0,3716.1,3827.1,3573.4,0,4.9,5.3,5.5,41295.8,42364.9,37913.8,6660.7,6833.2,6115.2
Ghana,517.4,329.2,483.9,796.8,5.0,2.6,3.1,3.3,1477.3,1666.8,2085.8,3027.8,12.6,11.3,11.5,11.9,0,881.3,1141.6,1649.0,0,4.9,4.9,4.8,92.0,129.3,209.0,279.4,392.7,635.0
Greece,603.4,736.1,780.8,783.2,5.1,6.4,7.5,8.2,779.9,596.9,590.9,540.6,7.2,7.3,7.5,7.7,0,180.5,189.8,184.6,0,1.7,1.9,2.1,1286.0,1273.4,1164.8,1747.1,1730.1,1582.4
Greenland,0.0,1.8,1.9,1.7,0.0,3.3,3.8,4.1,0.0,4.3,4.5,4.2,0.0,5.4,5.9,6.3,0,2.1,2.1,2.0,0,4.8,5.1,5.2,0.0,0.0,0.0,0.0,0.0,0.0
Grenada,4.8,10.1,11.4,12.9,8.6,12.6,14.2,15.2,6.4,3.9,4.3,4.9,10.9,5.0,5.5,5.8,0,6.5,7.3,8.5,0,9.9,10.3,10.5,10.7,12.3,12.6,1058.0,1215.3,1246.6
Guadeloupe,23.9,0.0,0.0,0.0,6.3,0.0,0.0,0.0,36.7,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guam,10.3,23.3,26.6,29.6,8.6,19.1,21.0,22.0,14.9,9.1,10.2,11.2,12.6,7.4,7.9,8.2,0,7.0,7.6,8.1,0,4.5,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0
Guatemala,533.3,1149.5,1532.2,2264.7,9.3,13.1,14.1,14.7,321.4,979.6,1299.5,1896.5,5.4,10.8,11.4,11.7,0,924.7,1266.8,1955.8,0,9.9,10.3,10.5,1021.3,1281.7,1667.3,888.5,1115.0,1450.4
Guinea,181.8,103.7,144.9,251.4,4.4,2.1,2.2,2.3,473.5,564.1,747.2,1228.0,10.9,11.3,11.5,11.9,0,275.1,389.7,640.8,0,4.8,4.7,4.7,19.1,27.0,45.0,184.6,260.7,434.1
Guinea-Bissau,19.1,16.8,22.7,36.1,3.0,2.1,2.2,2.3,70.5,89.1,114.1,177.9,10.3,11.3,11.5,11.9,0,45.2,60.3,93.5,0,4.8,4.7,4.7,4.5,6.1,8.9,270.9,362.4,533.2
Guyana,65.6,54.0,63.1,72.4,16.7,11.7,13.2,14.1,43.2,22.9,26.5,30.0,11.0,5.0,5.5,5.8,0,35.0,40.0,47.2,0,9.9,10.3,10.5,37.5,42.0,47.4,693.0,777.6,876.7
