Country,ListYearPerson_2011,ListYearPerson_2021,ListYearPerson_2030,ListYearPerson_2045,ListYearPersonPrevalence_2011,ListYearPersonPrevalence_2021,ListYearPersonPrevalence_2030,ListYearPersonPrevalence_2045,IGT_2011,IGT_2021,IGT_2030,IGT_2045,IGTPrevalence_2011,IGTPrevalence_2021,IGTPrevalence_2030,IGTPrevalence_2045,IFG_2011,IFG_2021,IFG_2030,IFG_2045,IFGPrevalence_2011,IFGPrevalence_2021,IFGPrevalence_2030,IFGPrevalence_2045,Money20-79_2021,Money20-79_2030,Money20-79_2045,PersonMoney_2021,PersonMoney_2030,PersonMoney_2045,OverWeight,Obesity,QualityOfLifeIndex,PurchasingPowerIndex,SafetyIndex,HealthCareIndex,CostOfLivingIndex,PollutionIndex
Isle of Man,0,5.1,5.2,5.5,0,6.3,7,7.5,0,2.6,2.6,2.7,0,3.8,3.8,4,0,3.6,3.7,3.8,0,4.9,5.3,5.5,0,0,0,0,0,0,29.24,18.04,0,58,58.93,76.96,72.8,21.1
Israel,400.3,536.5,617.5,781.3,7.4,8.5,9.8,10.6,388.4,82.6,93.8,111.8,7.6,3.5,3.9,4.2,0,126.9,146.5,182.2,0,2.2,2.4,2.5,2579,2912.7,3492.2,4807.4,5429.4,6509.6,31.355,25.01,155.85,34,52.94,73.32,60,91.76
Italy,3560.4,4470.3,4699.1,4595.4,5.1,6.4,7.4,8,4342.6,4907.3,4964.4,4733.2,7.3,8.4,9,9.4,0,1625.3,1630.3,1462.4,0,2.8,3.1,3.2,14666.2,14557.2,13142.5,3280.8,3256.4,2939.9,28.035,17.765,145.19,20.8,52.8,65.38,65,68.75
Jamaica,258.5,231.1,273.1,325.2,15.7,11.1,12.6,13.3,177.8,101,116.1,134,10.8,5,5.5,5.8,0,211.1,241.4,278.9,0,9.9,10.3,10.5,204.5,230.2,250.7,884.9,996.2,1085,26.01,15.855,83.94,57.2,42.86,51.46,50.4,56.47
Japan,10674.3,11005,10542.7,10117.9,7.7,6.6,7.7,8.3,13638.2,12043,11404.2,10446.2,11.5,9.4,10.4,10.9,0,5567.9,5174.3,4557.6,0,4.5,4.6,4.6,35648.5,32889.7,29427.4,3239.3,2988.6,2674,23.22,19.625,183.9,9,77.34,79.78,45.2,97.41
Jordan,291.6,866.5,1099.5,1629.1,12.1,15.4,17.1,18,220.7,459.3,565.6,798.9,8.3,7.2,7.2,8,0,655.1,778.1,1050.8,0,9.8,10.1,10.4,849.8,942.4,1234.2,980.7,1087.6,1424.4,20.465,21.655,119.45,65.4,59.37,37.03,89.4,78.19
Kazakhstan,801.2,807.7,930.1,1051,7.7,6.6,7.3,7.7,1020.8,443.5,538.4,641.5,9.7,3.3,3.7,4,0,481.7,543.5,579.1,0,4.3,4.6,4.8,617.2,735.8,772.7,764.2,911,956.6,16.555,22.385,102.46,47,54.33,60.09,69.4,30.44
Kenya,769.3,821.5,1239.9,1964.9,5.1,4,4,3.9,1818.4,3200.8,4620.9,7724.1,10.6,16.7,18.4,19.6,0,986.9,1383.8,2253,0,5,5,5.1,368.6,496.1,750.2,448.6,603.9,913.2,14.385,17.405,107.44,21.6,76.18,61.5,42.2,43.1
Kiribati,15,14.1,18.1,25.2,25.3,22.1,23.5,24.1,5.2,4.5,5.6,7.5,8.8,7.4,7.9,8.2,0,9.5,11.4,15.2,0,13.6,13.3,13.3,7,8.6,11.1,493.8,605.9,781.7,42.115,0,0,113.4,26.89,36.58,57.2,58.62
Korea,216.9,394.9,556.1,795.5,19.8,19.5,21.7,22.8,212.9,360.6,452.2,578.6,16.6,12.9,13.5,13.8,0,313.7,369.8,423.3,0,8.8,8.9,8.9,796.7,1015.2,1215.3,2017.2,2570.6,3077.2,15.17,67.105,122.27,0,32.41,31.25,0,22.98
